GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
registration-login-spring-boot-security-thymeleaf,net.javaguides.springboot.service,StudentServiceImpl,12,40,1,1,1,13,1,5,0,5
registration-login-spring-boot-security-thymeleaf,net.javaguides.springboot.service,UserServiceImpl,69,6,2,0,9,3,5,1,4,1
registration-login-spring-boot-security-thymeleaf,net.javaguides.springboot.model,User,60,3,0,0,25,2,13,1,13,1
registration-login-spring-boot-security-thymeleaf,net.javaguides.springboot.model,Student,71,25,0,0,14,11,10,3,10,3
registration-login-spring-boot-security-thymeleaf,net.javaguides.springboot.model,Role,20,3,0,0,9,2,5,1,5,1
registration-login-spring-boot-security-thymeleaf,net.javaguides.springboot.config,SecurityConfiguration,0,102,0,0,0,25,0,5,0,5
registration-login-spring-boot-security-thymeleaf,net.javaguides.springboot.web.dto,UserRegistrationDto,46,0,0,0,20,0,10,0,10,0
registration-login-spring-boot-security-thymeleaf,net.javaguides.springboot.web,UserRegistrationController,13,6,0,0,4,3,3,1,3,1
registration-login-spring-boot-security-thymeleaf,net.javaguides.springboot.web,MainController,4,3,0,0,2,1,2,1,2,1
registration-login-spring-boot-security-thymeleaf,net.javaguides.springboot.web,StudentController,59,6,0,0,17,3,7,1,7,1
registration-login-spring-boot-security-thymeleaf,net.javaguides.springboot,RegistrationLoginSpringBootSecurityThymeleafApplication,5,3,0,0,2,1,1,1,1,1
